issuer,category,rating,maturity,yield
기업은행,금융채 은행채 AAA(중금-이표),AAA,0.25,2.77
산업은행,금융채 은행채 AAA(산금-이표),AAA,0.25,2.77
신한은행,금융채 은행채 AAA,AAA,0.25,2.791
스탠다드차타드은행,금융채 은행채 AAA,AAA,0.25,2.801
하나은행,금융채 은행채 AAA,AAA,0.25,2.791
아이엠뱅크,금융채 은행채 AAA,AAA,0.25,2.803
부산은행,금융채 은행채 AAA,AAA,0.25,2.803
국민은행,금융채 은행채 AAA,AAA,0.25,2.791
한국수출입은행,금융채 은행채 AAA,AAA,0.25,2.77
우리은행,금융채 은행채 AAA,AAA,0.25,2.791
수협은행,금융채 은행채 AAA,AAA,0.25,2.796
농협은행,금융채 은행채 AAA,AAA,0.25,2.791
제주은행,금융채 은행채 AA+,AA+,0.25,2.817
전북은행,금융채 은행채 AA+,AA+,0.25,2.81
경남은행,금융채 은행채 AA+,AA+,0.25,2.806
광주은행,금융채 은행채 AA+,AA+,0.25,2.813
예금보험공사(정부보증),공사/공단채 정부보증,AAA,0.25,2.706
한국장학재단,공사/공단채 정부보증,AAA,0.25,2.706
한국전력공사,공사/공단채 AAA,AAA,0.25,2.8
농협중앙회,공사/공단채 AAA,AAA,0.25,2.786
수협중앙회,공사/공단채 AAA,AAA,0.25,2.83
한국자산관리공사,공사/공단채 AAA,AAA,0.25,2.733
한국가스공사,공사/공단채 AAA,AAA,0.25,2.797
주택도시보증공사,공사/공단채 AAA,AAA,0.25,2.804
한국도로공사,공사/공단채 AAA,AAA,0.25,2.751
중소벤처기업진흥공단,공사/공단채 AAA,AAA,0.25,2.722
여수광양항만공사,공사/공단채 AAA,AAA,0.25,2.799
인천국제공항공사,공사/공단채 AAA,AAA,0.25,2.788
농어촌공사,공사/공단채 AAA,AAA,0.25,2.783
경기주택도시공사,공사/공단채 AAA,AAA,0.25,2.814
한국석유공사,공사/공단채 AAA,AAA,0.25,2.761
국가철도공단,공사/공단채 AAA,AAA,0.25,2.78
지역난방공사,공사/공단채 AAA,AAA,0.25,2.753
한국주택금융공사,공사/공단채 AAA,AAA,0.25,2.75
서울주택도시공사,공사/공단채 AAA,AAA,0.25,2.801
한국철도공사,공사/공단채 AAA,AAA,0.25,2.778
부산교통공사,공사/공단채 AAA,AAA,0.25,2.788
부산항만공사,공사/공단채 AAA,AAA,0.25,2.798
한국산업단지공단,공사/공단채 AAA,AAA,0.25,2.762
인천항만공사,공사/공단채 AAA,AAA,0.25,2.79
한국토지주택공사,공사/공단채 AAA,AAA,0.25,2.761
울산항만공사,공사/공단채 AAA,AAA,0.25,2.773
한국수자원공사,공사/공단채 AAA,AAA,0.25,2.754
서울교통공사,공사/공단채 AAA,AAA,0.25,2.83
한국해양진흥공사,공사/공단채 AAA,AAA,0.25,2.762
한국해외인프라도시개발지원공사,공사/공단채 AAA,AAA,0.25,2.812
한국공항공사,공사/공단채 AAA,AAA,0.25,2.795
광해광업공단,공사/공단채 AAA,AAA,0.25,2.815
평택도시공사,공사/공단채 AA0,AA,0.25,2.838
용인도시공사,공사/공단채 AA0,AA,0.25,2.957
하남도시공사,공사/공단채 AA0,AA,0.25,2.869
김해시도시개발공사,공사/공단채 AA0,AA,0.25,2.874
과천도시공사,공사/공단채 AA0,AA,0.25,2.916
고양도시관리공사,공사/공단채 AA0,AA,0.25,2.88
안산도시공사,공사/공단채 AA0,AA,0.25,2.942
안양도시공사,공사/공단채 AA0,AA,0.25,2.878
대구도시개발공사,공사/공단채 AA+,AA+,0.25,2.838
부산도시공사,공사/공단채 AA+,AA+,0.25,2.831
대전도시공사,공사/공단채 AA+,AA+,0.25,2.83
대구교통공사,공사/공단채 AA+,AA+,0.25,2.869
광주광역시도시공사,공사/공단채 AA+,AA+,0.25,2.854
인천도시공사,공사/공단채 AA+,AA+,0.25,2.804
경남개발공사,공사/공단채 AA+,AA+,0.25,2.849
경상북도개발공사,공사/공단채 AA+,AA+,0.25,2.844
전남개발공사,공사/공단채 AA+,AA+,0.25,2.826
충북개발공사,공사/공단채 AA+,AA+,0.25,2.825
충청남도개발공사,공사/공단채 AA+,AA+,0.25,2.846
울산도시공사,공사/공단채 AA+,AA+,0.25,2.836
인천교통공사,공사/공단채 AA+,AA+,0.25,2.843
경기평택항만공사,공사/공단채 AA+,AA+,0.25,2.958
세종도시교통공사,공사/공단채 AA+,AA+,0.25,2.849
기업은행,금융채 은행채 AAA(중금-이표),AAA,0.5,2.838
산업은행,금융채 은행채 AAA(산금-이표),AAA,0.5,2.838
신한은행,금융채 은행채 AAA,AAA,0.5,2.864
스탠다드차타드은행,금융채 은행채 AAA,AAA,0.5,2.877
하나은행,금융채 은행채 AAA,AAA,0.5,2.864
아이엠뱅크,금융채 은행채 AAA,AAA,0.5,2.876
부산은행,금융채 은행채 AAA,AAA,0.5,2.876
국민은행,금융채 은행채 AAA,AAA,0.5,2.864
한국수출입은행,금융채 은행채 AAA,AAA,0.5,2.838
우리은행,금융채 은행채 AAA,AAA,0.5,2.864
수협은행,금융채 은행채 AAA,AAA,0.5,2.869
농협은행,금융채 은행채 AAA,AAA,0.5,2.864
제주은행,금융채 은행채 AA+,AA+,0.5,2.893
전북은행,금융채 은행채 AA+,AA+,0.5,2.891
경남은행,금융채 은행채 AA+,AA+,0.5,2.882
광주은행,금융채 은행채 AA+,AA+,0.5,2.889
예금보험공사(정부보증),공사/공단채 정부보증,AAA,0.5,2.775
한국장학재단,공사/공단채 정부보증,AAA,0.5,2.775
한국전력공사,공사/공단채 AAA,AAA,0.5,2.879
농협중앙회,공사/공단채 AAA,AAA,0.5,2.871
수협중앙회,공사/공단채 AAA,AAA,0.5,2.923
한국자산관리공사,공사/공단채 AAA,AAA,0.5,2.812
한국가스공사,공사/공단채 AAA,AAA,0.5,2.883
주택도시보증공사,공사/공단채 AAA,AAA,0.5,2.866
한국도로공사,공사/공단채 AAA,AAA,0.5,2.834
중소벤처기업진흥공단,공사/공단채 AAA,AAA,0.5,2.81
여수광양항만공사,공사/공단채 AAA,AAA,0.5,2.883
인천국제공항공사,공사/공단채 AAA,AAA,0.5,2.874
농어촌공사,공사/공단채 AAA,AAA,0.5,2.865
경기주택도시공사,공사/공단채 AAA,AAA,0.5,2.9
한국석유공사,공사/공단채 AAA,AAA,0.5,2.839
국가철도공단,공사/공단채 AAA,AAA,0.5,2.859
지역난방공사,공사/공단채 AAA,AAA,0.5,2.835
한국주택금융공사,공사/공단채 AAA,AAA,0.5,2.822
서울주택도시공사,공사/공단채 AAA,AAA,0.5,2.895
한국철도공사,공사/공단채 AAA,AAA,0.5,2.859
부산교통공사,공사/공단채 AAA,AAA,0.5,2.87
부산항만공사,공사/공단채 AAA,AAA,0.5,2.88
한국산업단지공단,공사/공단채 AAA,AAA,0.5,2.844
인천항만공사,공사/공단채 AAA,AAA,0.5,2.874
한국토지주택공사,공사/공단채 AAA,AAA,0.5,2.842
울산항만공사,공사/공단채 AAA,AAA,0.5,2.851
한국수자원공사,공사/공단채 AAA,AAA,0.5,2.837
서울교통공사,공사/공단채 AAA,AAA,0.5,2.912
한국해양진흥공사,공사/공단채 AAA,AAA,0.5,2.844
한국해외인프라도시개발지원공사,공사/공단채 AAA,AAA,0.5,2.894
한국공항공사,공사/공단채 AAA,AAA,0.5,2.875
광해광업공단,공사/공단채 AAA,AAA,0.5,2.894
평택도시공사,공사/공단채 AA0,AA,0.5,2.917
용인도시공사,공사/공단채 AA0,AA,0.5,3.045
하남도시공사,공사/공단채 AA0,AA,0.5,2.945
김해시도시개발공사,공사/공단채 AA0,AA,0.5,2.949
과천도시공사,공사/공단채 AA0,AA,0.5,2.996
고양도시관리공사,공사/공단채 AA0,AA,0.5,2.959
안산도시공사,공사/공단채 AA0,AA,0.5,3.025
안양도시공사,공사/공단채 AA0,AA,0.5,2.979
대구도시개발공사,공사/공단채 AA+,AA+,0.5,2.916
부산도시공사,공사/공단채 AA+,AA+,0.5,2.911
대전도시공사,공사/공단채 AA+,AA+,0.5,2.913
대구교통공사,공사/공단채 AA+,AA+,0.5,2.951
광주광역시도시공사,공사/공단채 AA+,AA+,0.5,2.933
인천도시공사,공사/공단채 AA+,AA+,0.5,2.88
경남개발공사,공사/공단채 AA+,AA+,0.5,2.925
경상북도개발공사,공사/공단채 AA+,AA+,0.5,2.93
전남개발공사,공사/공단채 AA+,AA+,0.5,2.909
충북개발공사,공사/공단채 AA+,AA+,0.5,2.9
충청남도개발공사,공사/공단채 AA+,AA+,0.5,2.926
울산도시공사,공사/공단채 AA+,AA+,0.5,2.916
인천교통공사,공사/공단채 AA+,AA+,0.5,2.925
경기평택항만공사,공사/공단채 AA+,AA+,0.5,3.038
세종도시교통공사,공사/공단채 AA+,AA+,0.5,2.926
기업은행,금융채 은행채 AAA(중금-이표),AAA,0.75,2.898
산업은행,금융채 은행채 AAA(산금-이표),AAA,0.75,2.898
신한은행,금융채 은행채 AAA,AAA,0.75,2.928
스탠다드차타드은행,금융채 은행채 AAA,AAA,0.75,2.945
하나은행,금융채 은행채 AAA,AAA,0.75,2.928
아이엠뱅크,금융채 은행채 AAA,AAA,0.75,2.94
부산은행,금융채 은행채 AAA,AAA,0.75,2.94
국민은행,금융채 은행채 AAA,AAA,0.75,2.928
한국수출입은행,금융채 은행채 AAA,AAA,0.75,2.898
우리은행,금융채 은행채 AAA,AAA,0.75,2.928
수협은행,금융채 은행채 AAA,AAA,0.75,2.933
농협은행,금융채 은행채 AAA,AAA,0.75,2.928
제주은행,금융채 은행채 AA+,AA+,0.75,2.968
전북은행,금융채 은행채 AA+,AA+,0.75,2.951
경남은행,금융채 은행채 AA+,AA+,0.75,2.952
광주은행,금융채 은행채 AA+,AA+,0.75,2.959
예금보험공사(정부보증),공사/공단채 정부보증,AAA,0.75,2.841
한국장학재단,공사/공단채 정부보증,AAA,0.75,2.841
한국전력공사,공사/공단채 AAA,AAA,0.75,2.964
농협중앙회,공사/공단채 AAA,AAA,0.75,2.959
수협중앙회,공사/공단채 AAA,AAA,0.75,3.005
한국자산관리공사,공사/공단채 AAA,AAA,0.75,2.891
한국가스공사,공사/공단채 AAA,AAA,0.75,2.957
주택도시보증공사,공사/공단채 AAA,AAA,0.75,2.935
한국도로공사,공사/공단채 AAA,AAA,0.75,2.916
중소벤처기업진흥공단,공사/공단채 AAA,AAA,0.75,2.883
여수광양항만공사,공사/공단채 AAA,AAA,0.75,2.963
인천국제공항공사,공사/공단채 AAA,AAA,0.75,2.952
농어촌공사,공사/공단채 AAA,AAA,0.75,2.944
경기주택도시공사,공사/공단채 AAA,AAA,0.75,2.987
한국석유공사,공사/공단채 AAA,AAA,0.75,2.919
국가철도공단,공사/공단채 AAA,AAA,0.75,2.942
지역난방공사,공사/공단채 AAA,AAA,0.75,2.915
한국주택금융공사,공사/공단채 AAA,AAA,0.75,2.899
서울주택도시공사,공사/공단채 AAA,AAA,0.75,2.99
한국철도공사,공사/공단채 AAA,AAA,0.75,2.949
부산교통공사,공사/공단채 AAA,AAA,0.75,2.949
부산항만공사,공사/공단채 AAA,AAA,0.75,2.959
한국산업단지공단,공사/공단채 AAA,AAA,0.75,2.924
인천항만공사,공사/공단채 AAA,AAA,0.75,2.963
한국토지주택공사,공사/공단채 AAA,AAA,0.75,2.926
울산항만공사,공사/공단채 AAA,AAA,0.75,2.93
한국수자원공사,공사/공단채 AAA,AAA,0.75,2.918
서울교통공사,공사/공단채 AAA,AAA,0.75,2.99
한국해양진흥공사,공사/공단채 AAA,AAA,0.75,2.924
한국해외인프라도시개발지원공사,공사/공단채 AAA,AAA,0.75,2.981
한국공항공사,공사/공단채 AAA,AAA,0.75,2.958
광해광업공단,공사/공단채 AAA,AAA,0.75,2.977
평택도시공사,공사/공단채 AA0,AA,0.75,3.028
용인도시공사,공사/공단채 AA0,AA,0.75,3.151
하남도시공사,공사/공단채 AA0,AA,0.75,3.06
김해시도시개발공사,공사/공단채 AA0,AA,0.75,3.062
과천도시공사,공사/공단채 AA0,AA,0.75,3.103
고양도시관리공사,공사/공단채 AA0,AA,0.75,3.069
안산도시공사,공사/공단채 AA0,AA,0.75,3.133
안양도시공사,공사/공단채 AA0,AA,0.75,3.066
대구도시개발공사,공사/공단채 AA+,AA+,0.75,3.013
부산도시공사,공사/공단채 AA+,AA+,0.75,3.007
대전도시공사,공사/공단채 AA+,AA+,0.75,3.007
대구교통공사,공사/공단채 AA+,AA+,0.75,3.05
광주광역시도시공사,공사/공단채 AA+,AA+,0.75,3.037
인천도시공사,공사/공단채 AA+,AA+,0.75,2.974
경남개발공사,공사/공단채 AA+,AA+,0.75,3.021
경상북도개발공사,공사/공단채 AA+,AA+,0.75,3.025
전남개발공사,공사/공단채 AA+,AA+,0.75,2.993
충북개발공사,공사/공단채 AA+,AA+,0.75,2.993
충청남도개발공사,공사/공단채 AA+,AA+,0.75,3.026
울산도시공사,공사/공단채 AA+,AA+,0.75,3.012
인천교통공사,공사/공단채 AA+,AA+,0.75,3.015
경기평택항만공사,공사/공단채 AA+,AA+,0.75,3.14
세종도시교통공사,공사/공단채 AA+,AA+,0.75,3.022
기업은행,금융채 은행채 AAA(중금-이표),AAA,1.0,3.046
산업은행,금융채 은행채 AAA(산금-이표),AAA,1.0,3.046
신한은행,금융채 은행채 AAA,AAA,1.0,3.098
스탠다드차타드은행,금융채 은행채 AAA,AAA,1.0,3.115
하나은행,금융채 은행채 AAA,AAA,1.0,3.098
아이엠뱅크,금융채 은행채 AAA,AAA,1.0,3.111
부산은행,금융채 은행채 AAA,AAA,1.0,3.11
국민은행,금융채 은행채 AAA,AAA,1.0,3.098
한국수출입은행,금융채 은행채 AAA,AAA,1.0,3.046
우리은행,금융채 은행채 AAA,AAA,1.0,3.098
수협은행,금융채 은행채 AAA,AAA,1.0,3.104
농협은행,금융채 은행채 AAA,AAA,1.0,3.098
제주은행,금융채 은행채 AA+,AA+,1.0,3.154
전북은행,금융채 은행채 AA+,AA+,1.0,3.16
경남은행,금융채 은행채 AA+,AA+,1.0,3.138
광주은행,금융채 은행채 AA+,AA+,1.0,3.147
예금보험공사(정부보증),공사/공단채 정부보증,AAA,1.0,3.013
한국장학재단,공사/공단채 정부보증,AAA,1.0,3.013
한국전력공사,공사/공단채 AAA,AAA,1.0,3.122
농협중앙회,공사/공단채 AAA,AAA,1.0,3.131
수협중앙회,공사/공단채 AAA,AAA,1.0,3.166
한국자산관리공사,공사/공단채 AAA,AAA,1.0,3.058
한국가스공사,공사/공단채 AAA,AAA,1.0,3.124
주택도시보증공사,공사/공단채 AAA,AAA,1.0,3.127
한국도로공사,공사/공단채 AAA,AAA,1.0,3.076
중소벤처기업진흥공단,공사/공단채 AAA,AAA,1.0,3.046
여수광양항만공사,공사/공단채 AAA,AAA,1.0,3.125
인천국제공항공사,공사/공단채 AAA,AAA,1.0,3.114
농어촌공사,공사/공단채 AAA,AAA,1.0,3.108
경기주택도시공사,공사/공단채 AAA,AAA,1.0,3.149
한국석유공사,공사/공단채 AAA,AAA,1.0,3.084
국가철도공단,공사/공단채 AAA,AAA,1.0,3.104
지역난방공사,공사/공단채 AAA,AAA,1.0,3.074
한국주택금융공사,공사/공단채 AAA,AAA,1.0,3.064
서울주택도시공사,공사/공단채 AAA,AAA,1.0,3.168
한국철도공사,공사/공단채 AAA,AAA,1.0,3.109
부산교통공사,공사/공단채 AAA,AAA,1.0,3.121
부산항만공사,공사/공단채 AAA,AAA,1.0,3.124
한국산업단지공단,공사/공단채 AAA,AAA,1.0,3.086
인천항만공사,공사/공단채 AAA,AAA,1.0,3.128
한국토지주택공사,공사/공단채 AAA,AAA,1.0,3.093
울산항만공사,공사/공단채 AAA,AAA,1.0,3.093
한국수자원공사,공사/공단채 AAA,AAA,1.0,3.078
서울교통공사,공사/공단채 AAA,AAA,1.0,3.155
한국해양진흥공사,공사/공단채 AAA,AAA,1.0,3.086
한국해외인프라도시개발지원공사,공사/공단채 AAA,AAA,1.0,3.146
한국공항공사,공사/공단채 AAA,AAA,1.0,3.126
광해광업공단,공사/공단채 AAA,AAA,1.0,3.141
평택도시공사,공사/공단채 AA0,AA,1.0,3.192
용인도시공사,공사/공단채 AA0,AA,1.0,3.307
하남도시공사,공사/공단채 AA0,AA,1.0,3.226
김해시도시개발공사,공사/공단채 AA0,AA,1.0,3.223
과천도시공사,공사/공단채 AA0,AA,1.0,3.269
고양도시관리공사,공사/공단채 AA0,AA,1.0,3.226
안산도시공사,공사/공단채 AA0,AA,1.0,3.287
안양도시공사,공사/공단채 AA0,AA,1.0,3.224
대구도시개발공사,공사/공단채 AA+,AA+,1.0,3.161
부산도시공사,공사/공단채 AA+,AA+,1.0,3.153
대전도시공사,공사/공단채 AA+,AA+,1.0,3.159
대구교통공사,공사/공단채 AA+,AA+,1.0,3.207
광주광역시도시공사,공사/공단채 AA+,AA+,1.0,3.189
인천도시공사,공사/공단채 AA+,AA+,1.0,3.124
경남개발공사,공사/공단채 AA+,AA+,1.0,3.171
경상북도개발공사,공사/공단채 AA+,AA+,1.0,3.172
전남개발공사,공사/공단채 AA+,AA+,1.0,3.153
충북개발공사,공사/공단채 AA+,AA+,1.0,3.139
충청남도개발공사,공사/공단채 AA+,AA+,1.0,3.172
울산도시공사,공사/공단채 AA+,AA+,1.0,3.162
인천교통공사,공사/공단채 AA+,AA+,1.0,3.164
경기평택항만공사,공사/공단채 AA+,AA+,1.0,3.297
세종도시교통공사,공사/공단채 AA+,AA+,1.0,3.172
기업은행,금융채 은행채 AAA(중금-이표),AAA,1.5,3.267
산업은행,금융채 은행채 AAA(산금-이표),AAA,1.5,3.267
신한은행,금융채 은행채 AAA,AAA,1.5,3.331
스탠다드차타드은행,금융채 은행채 AAA,AAA,1.5,3.348
하나은행,금융채 은행채 AAA,AAA,1.5,3.331
아이엠뱅크,금융채 은행채 AAA,AAA,1.5,3.345
부산은행,금융채 은행채 AAA,AAA,1.5,3.343
국민은행,금융채 은행채 AAA,AAA,1.5,3.331
한국수출입은행,금융채 은행채 AAA,AAA,1.5,3.267
우리은행,금융채 은행채 AAA,AAA,1.5,3.331
수협은행,금융채 은행채 AAA,AAA,1.5,3.339
농협은행,금융채 은행채 AAA,AAA,1.5,3.331
제주은행,금융채 은행채 AA+,AA+,1.5,3.403
전북은행,금융채 은행채 AA+,AA+,1.5,3.41
경남은행,금융채 은행채 AA+,AA+,1.5,3.389
광주은행,금융채 은행채 AA+,AA+,1.5,3.396
예금보험공사(정부보증),공사/공단채 정부보증,AAA,1.5,3.171
한국장학재단,공사/공단채 정부보증,AAA,1.5,3.171
한국전력공사,공사/공단채 AAA,AAA,1.5,3.296
농협중앙회,공사/공단채 AAA,AAA,1.5,3.298
수협중앙회,공사/공단채 AAA,AAA,1.5,3.339
한국자산관리공사,공사/공단채 AAA,AAA,1.5,3.223
한국가스공사,공사/공단채 AAA,AAA,1.5,3.294
주택도시보증공사,공사/공단채 AAA,AAA,1.5,3.291
한국도로공사,공사/공단채 AAA,AAA,1.5,3.241
중소벤처기업진흥공단,공사/공단채 AAA,AAA,1.5,3.217
여수광양항만공사,공사/공단채 AAA,AAA,1.5,3.298
인천국제공항공사,공사/공단채 AAA,AAA,1.5,3.288
농어촌공사,공사/공단채 AAA,AAA,1.5,3.281
경기주택도시공사,공사/공단채 AAA,AAA,1.5,3.326
한국석유공사,공사/공단채 AAA,AAA,1.5,3.256
국가철도공단,공사/공단채 AAA,AAA,1.5,3.278
지역난방공사,공사/공단채 AAA,AAA,1.5,3.252
한국주택금융공사,공사/공단채 AAA,AAA,1.5,3.239
서울주택도시공사,공사/공단채 AAA,AAA,1.5,3.341
한국철도공사,공사/공단채 AAA,AAA,1.5,3.276
부산교통공사,공사/공단채 AAA,AAA,1.5,3.294
부산항만공사,공사/공단채 AAA,AAA,1.5,3.3
한국산업단지공단,공사/공단채 AAA,AAA,1.5,3.258
인천항만공사,공사/공단채 AAA,AAA,1.5,3.303
한국토지주택공사,공사/공단채 AAA,AAA,1.5,3.262
울산항만공사,공사/공단채 AAA,AAA,1.5,3.264
한국수자원공사,공사/공단채 AAA,AAA,1.5,3.242
서울교통공사,공사/공단채 AAA,AAA,1.5,3.331
한국해양진흥공사,공사/공단채 AAA,AAA,1.5,3.255
한국해외인프라도시개발지원공사,공사/공단채 AAA,AAA,1.5,3.317
한국공항공사,공사/공단채 AAA,AAA,1.5,3.299
광해광업공단,공사/공단채 AAA,AAA,1.5,3.313
평택도시공사,공사/공단채 AA0,AA,1.5,3.403
용인도시공사,공사/공단채 AA0,AA,1.5,3.525
하남도시공사,공사/공단채 AA0,AA,1.5,3.46
김해시도시개발공사,공사/공단채 AA0,AA,1.5,3.435
과천도시공사,공사/공단채 AA0,AA,1.5,3.489
고양도시관리공사,공사/공단채 AA0,AA,1.5,3.451
안산도시공사,공사/공단채 AA0,AA,1.5,3.506
안양도시공사,공사/공단채 AA0,AA,1.5,3.437
